source,target,total_value,min_gas_price,transaction_count
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0,11859813049,169
0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0,9557712112,400
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0,13207249516,135
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0,12399514700,112
0x28c6c06298d514db089934071355e5743bf21d60,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0,11574433920,464
0x2b43e084a0832c93a41cf48f47cdb41b689e1dfc,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0,12565209246,89
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0,12828629191,199
0x28c6c06298d514db089934071355e5743bf21d60,0x0de05f6447ab4d22c8827449ee4ba2d5c288379b,0,12178545468,65
0xa152f8bb749c55e9943a3a0a3111d18ee2b3f94e,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,0,10376020489,79
0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,11307443535,73
0x95b564f3b3bae3f206aa418667ba000afafacc8a,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,11851838078,193
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,10620627163,1013
0x46340b20830761efd32832a74d7169b29feb9758,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,14418527321,303
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,26000000000,101
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,11376020489,583
0x28c6c06298d514db089934071355e5743bf21d60,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,10620627163,1516
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,11496235732,214
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,11653334641,1147
0xa152f8bb749c55e9943a3a0a3111d18ee2b3f94e,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,11753999353,105
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,0,12509077890,72
0x28c6c06298d514db089934071355e5743bf21d60,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,0,11945330907,72
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,0,12062251691,69
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x111111111117dc0aa78b770fa6a738034120c302,0,26000000000,92
0x28c6c06298d514db089934071355e5743bf21d60,0x111111111117dc0aa78b770fa6a738034120c302,0,11905871952,338
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x111111111117dc0aa78b770fa6a738034120c302,0,11713800607,300
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x111111111117dc0aa78b770fa6a738034120c302,0,11502506490,304
0xbadffcb79efe57e954fd79621b29b0c2dc170171,0x1111111254eeb25477b68fb85ed929f73a960582,53219220000000000000,11211128789,90
0xe2e54270813c5c44a6f97d123120952a12b00000,0x1111111254eeb25477b68fb85ed929f73a960582,0,12442945172,209
0x392d688249dda8c3f75402cc257307e04fcd793c,0x1111111254eeb25477b68fb85ed929f73a960582,5778856373498378960,12228712073,134
0xd83eb40979ca0dabe945e22629a72765dc9a39bd,0x1111111254eeb25477b68fb85ed929f73a960582,0,12637181493,196
0x8eb2283f696f2a130134d46e28d3528e19e16868,0x1111111254eeb25477b68fb85ed929f73a960582,0,12599628606,222
0xb6aa0052c2a7c8230912b8638cdf8e08505f7f82,0x1111111254eeb25477b68fb85ed929f73a960582,2615500000000000000,10748119377,81
0x947c4efaf086821ed8f5d3980d466808f3fe4808,0x1111111254eeb25477b68fb85ed929f73a960582,0,10480393198,169
0x759ec1b3326de6fd4ba316f65a6f689c4e4c3092,0x1111111254eeb25477b68fb85ed929f73a960582,88981000000000000000,11820781414,142
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0x1111111254eeb25477b68fb85ed929f73a960582,1257500000000000000,11734439955,300
0xcc88036fa05c86129bf66260c2a905ab2c7b663c,0x1111111254eeb25477b68fb85ed929f73a960582,0,12156486736,211
0xb052c8430c47e444d51aee080d9442e7242df78a,0x1111111254eeb25477b68fb85ed929f73a960582,16135648395303663212,10305992563,161
0x88f859db067c45b114897db6920f3e4a61a5ca66,0x1111111254eeb25477b68fb85ed929f73a960582,0,10805318003,300
0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,0x1111111254fb6c44bac0bed2854e76f90643097d,0,10729517691,608
0x42dca0244dca7872b3096c91b98caab45e1acfb6,0x114e54a100a0415abf9727234c92c83dbcc59abf,5850689990000000000,12239566260,87
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x12b6893ce26ea6341919fe289212ef77e51688c8,0,25500000000,285
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x12bb890508c125661e03b09ec06e404bc9289040,0,26500000000,81
